Date(NZST),RH(%)_m,Tmax(C)_m,Tmin(C)_m,Dir(DegT)_m,Speed(m/s)_m,Pmsl(hPa),Prec,RH(%)_s,Tmax(C)_s,Tmin(C)_s,Dir(DegT)_s,Speed(m/s)_s
2018-10-14,68,14.5,4.7,221.0,1.5,1026.3,0.0,,,,,
2018-10-15,94,17.1,4.8,82.0,0.2,1032.7,0.0,,,,,
2018-10-16,88,19.8,5.1,332.0,0.9,1031.3,0.0,,,,,
2018-10-17,63,17.2,11.7,238.0,4.1,1024.5,0.0,,,,,
2018-10-18,81,16.4,11.4,232.0,3.2,1023.1,0.0,,,,,
2018-10-19,73,17.8,6.8,63.0,2.9,1029.1,0.2,,,,,
2018-10-20,90,19.6,6.4,13.0,0.5,1028.9,0.0,,,,,
2018-10-21,81,21.3,10.6,329.0,1.4,1026.8,0.0,,,,,
2018-10-22,82,21.5,9.0,254.0,0.6,1026.3,0.0,,,,,
2018-10-23,83,21.4,8.7,312.0,0.8,1025.5,0.0,,,,,
2018-10-24,91,21.1,8.0,338.0,1.1,1023.0,0.0,,,,,
2018-10-25,78,21.0,9.9,328.0,1.2,1018.6,0.0,,,,,
2018-10-26,62,20.2,13.7,221.0,3.8,1014.4,2.2,,,,,
2018-10-27,75,19.3,9.4,28.0,3.3,1010.2,0.0,,,,,
2018-10-28,89,21.4,14.2,317.0,2.3,1002.3,12.8,,,,,
2018-10-29,84,20.4,12.2,346.0,3.7,994.1,0.6,,,,,
2018-10-30,90,18.2,12.2,252.0,2.2,997.1,15.0,,,,,
2018-10-31,69,15.9,9.7,143.0,2.9,1008.9,6.4,,,,,
2018-01-11,88,19.6,13.1,265.0,3.9,1008.7,4.8,,,,,
2018-02-11,59,16.3,10.9,197.0,4.6,1023.4,1.0,,,,,
2018-03-11,77,18.7,12.4,284.0,2.8,1017.3,0.0,,,,,
2018-04-11,68,19.4,14.6,232.0,4.6,1007.4,5.0,,,,,
2018-05-11,73,19.1,12.6,238.0,4.4,1012.5,0.0,,,,,
2018-06-11,82,18.8,10.1,240.0,1.9,1018.2,0.0,,,,,
2018-07-11,88,20.5,7.9,337.0,1.0,1018.5,0.0,,,,,
2018-08-11,95,21.0,15.1,334.0,2.2,1016.5,0.0,,,,,
2018-09-11,80,21.6,15.3,7.0,3.0,1015.0,0.2,,,,,
2018-10-11,60,23.4,11.7,200.0,5.5,1017.5,2.8,,,,,
2018-11-11,81,18.2,7.4,131.0,0.4,1022.2,0.0,,,,,
2018-12-11,82,20.0,12.8,188.0,1.7,1023.0,8.4,,,,,
2018-11-13,71,21.2,8.6,218.0,3.6,1022.1,0.0,,,,,
2018-11-14,75,20.5,10.8,121.0,1.8,1024.7,0.0,,,,,
2018-11-15,67,21.8,13.3,76.0,3.6,1026.7,0.0,,,,,
2018-11-16,74,21.5,10.0,9.0,2.1,1022.4,0.0,,,,,
2018-11-17,80,22.0,9.7,336.0,1.0,1017.2,0.0,,,,,
2018-11-18,87,22.2,10.6,358.0,0.7,1012.2,0.0,,,,,
2018-11-19,74,22.4,13.5,227.0,2.1,1005.6,5.4,,,,,
2018-11-20,71,18.1,5.8,39.0,0.9,1003.7,1.4,,,,,
2018-11-21,87,16.0,5.7,308.0,2.9,1007.3,8.8,,,,,
2018-11-22,82,17.6,8.7,320.0,0.7,1004.1,9.8,,,,,
2018-11-23,83,19.6,7.1,341.0,0.6,1008.6,0.2,,,,,
2018-11-24,96,21.2,15.5,53.0,5.3,1006.1,13.4,,,,,
2018-11-25,96,18.9,15.7,44.0,4.2,996.9,8.8,,,,,
2018-11-26,80,21.9,13.0,338.0,1.8,1000.3,16.6,,,,,
2018-11-27,81,23.0,15.2,155.0,0.6,999.6,2.2,,,,,
2018-11-28,79,22.1,14.6,198.0,3.3,998.3,0.0,,,,,
2018-11-29,80,24.7,13.0,201.0,0.4,1009.1,0.0,,,,,
2018-11-30,77,23.9,17.8,41.0,5.0,1012.2,0.0,,,,,
2018-01-12,85,21.7,16.6,49.0,7.0,1007.0,2.2,,,,,
2018-02-12,86,20.3,17.6,31.0,3.9,1005.4,2.2,,,,,
2018-03-12,87,23.1,16.8,349.0,3.0,1001.2,4.2,,,,,
2018-04-12,96,21.5,16.7,42.0,2.2,1002.9,15.4,,,,,
2018-05-12,66,21.7,14.9,268.0,2.9,1010.3,9.4,,,,,
2018-06-12,78,21.1,12.3,269.0,2.0,1011.3,3.2,,,,,
2018-07-12,56,18.6,9.5,171.0,4.2,1021.0,2.6,,,,,
2018-08-12,72,19.6,12.0,197.0,4.2,1023.5,0.0,,,,,
