Date,AQI,WS
2019-06-23,65.0,4.7
2019-06-24,38.0,2.7
2019-06-25,33.0,2.4
2019-06-26,71.0,1.8
2019-06-27,79.0,2.1
2019-06-28,78.0,2.5
2019-06-29,65.0,2.7
2019-06-30,58.0,3.1
2019-07-01,45.0,4.0
2019-07-02,30.0,5.3
2019-07-03,46.0,4.1
2019-07-04,48.0,5.0
2019-07-05,27.0,3.7
2019-07-06,44.0,4.1
2019-07-07,67.0,1.9
2019-07-08,48.0,4.9
2019-07-09,37.0,3.3
2019-07-10,43.0,3.0
2019-07-11,30.0,3.6
2019-07-12,40.0,4.5
2019-07-13,35.0,4.6
2019-07-14,34.0,5.2
2019-07-15,35.0,3.3
2019-07-16,31.0,5.3
2019-07-17,40.0,7.2
2019-07-18,41.0,3.0
2019-07-19,45.0,4.2
2019-07-20,28.0,4.9
2019-07-21,43.0,2.5
2019-07-22,58.0,1.9
2019-07-23,53.0,3.0
2019-07-24,69.0,2.2
2019-07-25,84.0,2.4
2019-07-26,52.0,3.5
2019-07-27,22.0,4.4
2019-07-28,22.0,4.1
2019-07-29,22.0,3.4
2019-07-30,30.0,5.3
2019-07-31,34.0,4.9
2019-08-01,29.0,3.9
2019-08-02,35.0,7.6
2019-08-03,37.0,6.4
2019-08-04,33.0,8.1
2019-08-05,31.0,5.6
2019-08-06,35.0,5.1
2019-08-07,36.0,4.8
2019-08-08,34.0,3.3
2019-08-09,27.0,3.1
2019-08-10,42.0,4.6
2019-08-11,52.0,6.1
2019-08-12,39.0,7.2
2019-08-13,37.0,6.3
2019-08-14,29.0,6.2
2019-08-15,29.0,2.7
2019-08-16,29.0,4.6
2019-08-17,21.0,6.5
2019-08-18,22.0,3.9
2019-08-19,26.0,4.6
2019-08-20,24.0,5.7
2019-08-21,25.0,5.7
2019-08-22,32.0,6.8
2019-08-23,32.0,2.8
2019-08-24,33.0,5.3
2019-08-25,31.0,6.9
2019-08-26,40.0,7.7
2019-08-27,41.0,3.9
2019-08-28,38.0,3.2
2019-08-29,32.0,5.4
2019-08-30,34.0,4.6
2019-08-31,24.0,3.7
2019-09-01,37.0,2.7
2019-09-02,53.0,3.0
2019-09-03,38.0,6.7
2019-09-04,31.0,5.9
2019-09-05,36.0,5.4
2019-09-06,33.0,7.4
2019-09-07,31.0,5.5
2019-09-08,43.0,7.0
2019-09-09,43.0,5.0
