Date,NO,NO2,NOx,PM10,PM2.5,RH,SO2
2017-12-09,1.5,6.2,6.4,16.2,20.2,0.0,2.0
2017-12-10,3.2,19.4,19.6,24.3,28.5,0.0,11.7
2017-12-11,28.0,23.8,40.7,46.5,20.8,0.0,0.9
2017-12-12,60.9,51.1,81.5,26.6,13.6,0.0,3.1
2017-12-13,35.7,35.5,50.8,23.8,18.3,0.0,1.8
2017-12-14,47.3,36.2,68.4,24.9,22.1,0.0,6.1
2017-12-15,11.8,23.5,34.7,23.2,19.7,0.0,2.8
2017-12-16,17.0,28.0,29.6,18.7,13.8,0.0,0.8
2017-12-17,24.2,27.6,40.1,19.7,25.0,0.0,4.1
2017-12-18,30.7,30.1,52.1,26.0,18.8,0.0,1.1
2017-12-19,49.7,42.0,64.1,47.0,19.5,0.0,0.9
2017-12-20,29.2,27.5,44.7,37.0,26.8,0.0,0.5
2017-12-21,46.5,42.9,64.8,34.0,27.1,0.0,2.9
2017-12-22,19.7,21.5,38.8,32.5,33.8,0.0,4.9
2017-12-23,0.7,2.2,2.5,21.0,15.3,0.0,0.0
2017-12-24,0.8,2.4,2.6,16.0,12.9,0.0,-0.1
2017-12-25,0.4,5.6,5.8,13.2,19.2,0.0,2.0
2017-12-26,8.9,11.0,16.0,16.5,14.6,0.0,0.6
2017-12-27,20.9,31.1,39.2,25.5,10.0,0.0,14.0
2017-12-28,18.6,29.2,41.7,25.2,13.1,0.0,15.3
2017-12-29,15.4,18.1,24.6,24.0,16.1,0.0,1.7
2017-12-30,20.8,23.4,28.7,25.1,20.5,0.0,1.6
2017-12-31,6.6,17.6,19.0,17.6,20.4,0.0,5.3
2018-01-01,1.0,10.9,12.0,16.7,29.8,0.0,4.7
2018-01-02,15.7,11.5,17.4,126.4,15.2,0.0,0.8
2018-01-03,21.8,26.6,26.9,10.7,23.4,0.0,0.5
2018-01-04,2.4,7.1,7.5,17.9,53.9,0.0,-0.4
2018-01-05,4.4,8.2,11.8,37.5,25.0,0.0,0.4
2018-01-06,10.2,8.8,14.0,46.0,63.0,0.0,0.8
2018-01-07,7.2,9.2,13.6,39.2,39.5,0.0,0.9
2018-01-08,29.2,34.5,43.6,32.3,31.4,0.0,1.5
2018-01-09,39.3,26.0,53.9,33.3,27.3,0.0,2.1
2018-01-10,53.0,26.8,68.0,159.8,27.6,0.0,1.6
2018-01-11,27.8,22.4,43.2,148.0,30.1,0.0,0.0
2018-01-12,12.6,18.5,21.6,22.9,0.0,0.0,0.0
2018-01-13,0.7,3.1,3.4,84.9,0.0,0.0,1.3
2018-01-14,0.5,2.5,2.7,13.6,0.0,0.0,0.3
2018-01-15,4.1,6.7,6.7,23.1,33.8,0.0,0.1
2018-01-16,2.5,5.5,6.2,27.1,25.6,0.0,0.8
2018-01-17,1.7,4.6,4.6,33.0,50.7,0.0,0.9
2018-01-18,3.8,5.1,6.2,28.5,27.6,0.0,1.1
2018-01-19,2.5,3.3,4.2,167.5,19.0,0.0,1.0
2018-01-20,2.0,4.2,5.1,26.1,19.1,0.0,0.4
2018-01-21,1.3,7.1,7.4,22.1,16.6,0.0,0.3
2018-01-22,9.7,14.7,17.6,15.9,14.5,0.0,1.0
2018-01-23,19.1,23.5,33.0,17.6,24.1,0.0,0.7
2018-01-24,53.2,28.9,65.3,22.7,12.9,0.0,15.3
