Date,BC(370),BC(880),NO,NO2,NOx,PM10,RH,Temp,WS
2017-09-29,1999.17,1478.0,,,,19.0,87.3,17.0,3.1
2017-09-30,3965.5,2136.67,,,,,,,
2017-10-01,421.17,180.33,,,,31.5,,,0.0
2017-10-02,2414.0,2193.67,,,,31.6,81.5,16.0,5.3
2017-10-03,521.83,472.17,,,,12.6,83.3,16.0,3.6
2017-10-04,517.0,301.67,,,,15.1,81.2,17.0,3.1
2017-10-05,2998.17,2288.5,,,,18.1,81.4,18.0,2.3
2017-10-06,2281.5,1558.33,,,,22.7,87.9,18.0,1.5
2017-10-07,1525.67,1210.0,,,,21.4,87.8,18.0,3.5
2017-10-08,2860.33,2191.33,,,,40.6,89.8,20.0,3.3
2017-10-09,4203.5,3111.33,,,,25.8,91.1,19.0,2.5
2017-10-10,147.0,143.5,,,,15.7,90.4,17.0,4.0
2017-10-11,340.83,303.17,,,,31.3,85.3,16.0,4.9
2017-10-12,524.5,463.0,,,,25.5,76.8,17.0,3.1
2017-10-13,916.83,853.67,,,,20.7,89.2,16.0,4.0
2017-10-14,238.67,195.0,,,,33.4,90.1,21.0,3.7
2017-10-15,178.83,156.33,,,,20.1,79.2,16.0,4.0
2017-10-16,274.67,222.33,,,,20.8,77.2,17.0,3.6
2017-10-17,709.0,546.5,,,,27.6,82.1,16.0,3.4
2017-10-18,2907.17,2613.17,,,,19.8,84.3,16.0,2.5
2017-10-19,580.33,396.33,,,,15.1,84.4,17.0,1.9
2017-10-20,300.0,266.0,,,,15.3,79.3,16.0,1.9
2017-10-21,1028.0,485.67,,,,16.0,81.2,16.0,4.4
2017-10-22,1505.67,1220.5,,,,19.9,85.6,17.0,4.6
2017-10-23,285.33,226.17,,,,14.9,90.6,19.0,2.7
2017-10-24,315.83,278.0,,,,22.9,88.4,17.0,4.8
2017-10-25,642.67,561.67,,,,15.1,,,
2017-10-26,1227.67,882.17,,,,17.5,,,
2017-10-27,2824.33,2208.83,,,,14.9,,,
2017-10-28,840.5,603.0,,,,12.3,,,
2017-10-29,1193.5,952.0,,,,17.4,,,
2017-10-30,2569.33,2388.33,,,,23.1,,,
2017-10-31,1140.33,929.17,,,,21.3,,,
2017-11-01,889.17,775.67,,,,16.7,,,
2017-11-02,1489.5,1331.17,,,,20.6,,,
2017-11-03,2062.5,742.33,,,,28.2,,,
2017-11-04,1263.67,905.83,,,,25.9,,,
2017-11-05,1634.17,734.0,,,,18.5,,,
2017-11-06,2672.67,2272.33,,,,30.4,,,
2017-11-07,1935.17,771.17,,,,22.9,,,
2017-11-08,1378.83,1149.17,,,,30.2,,,3.6
2017-11-09,1386.67,958.33,,,,21.8,,,1.8
2017-11-10,1124.67,897.0,,,,24.4,,,1.9
2017-11-11,419.67,353.5,,,,25.0,,,2.7
2017-11-12,1944.67,1670.33,,,,14.1,,,1.9
