Date(NZST),Tmax(C),Tmin(C)
2019-06-24,15.4,4.9
2019-06-25,15.1,6.7
2019-06-26,14.1,0.8
2019-06-27,14.6,-0.5
2019-06-28,14.2,3.1
2019-06-29,15.6,3.0
2019-06-30,15.1,4.1
2019-07-01,14.8,7.2
2019-07-02,16.6,9.6
2019-07-03,16.4,13.0
2019-07-04,17.1,14.7
2019-07-05,15.7,6.7
2019-07-06,11.0,0.6
2019-07-07,13.0,-0.4
2019-07-08,13.2,3.4
2019-07-09,14.6,4.2
2019-07-10,13.9,2.5
2019-07-11,15.6,7.9
2019-07-12,16.9,4.8
2019-07-13,14.3,5.0
